transaction_id,account_id,sender_entity_id,receiver_entity_id,amount,currency,timestamp,origin_country,destination_country,merchant_category,transaction_type,channel,is_international,risk_flag
STR-001,ACC-6001,ENT-8001,ENT-8010,9800.00,USD,2025-03-01 08:15:00,US,US,jewelry,wire,branch,False,
STR-002,ACC-6001,ENT-8001,ENT-8011,9750.00,USD,2025-03-01 08:45:00,US,US,jewelry,wire,branch,False,
STR-003,ACC-6001,ENT-8001,ENT-8012,9600.00,USD,2025-03-01 09:30:00,US,US,auto,wire,branch,False,
STR-004,ACC-6001,ENT-8001,ENT-8013,9500.00,USD,2025-03-01 10:00:00,US,US,auto,wire,branch,False,
STR-005,ACC-6001,ENT-8001,ENT-8014,9900.00,USD,2025-03-01 10:30:00,US,US,retail,wire,branch,False,
STR-006,ACC-6002,ENT-8002,ENT-8015,9850.00,USD,2025-03-02 09:00:00,US,US,jewelry,wire,branch,False,
STR-007,ACC-6002,ENT-8002,ENT-8016,9700.00,USD,2025-03-02 09:20:00,US,US,electronics,wire,branch,False,
STR-008,ACC-6002,ENT-8002,ENT-8017,9650.00,USD,2025-03-02 09:40:00,US,US,electronics,wire,branch,False,
STR-009,ACC-6002,ENT-8002,ENT-8010,9550.00,USD,2025-03-02 10:00:00,US,US,retail,wire,branch,False,
STR-010,ACC-6003,ENT-8003,ENT-8018,500.00,USD,2025-03-03 11:00:00,US,US,grocery,card,pos,False,
STR-011,ACC-6003,ENT-8003,ENT-8019,250.00,USD,2025-03-03 12:00:00,US,US,restaurant,card,pos,False,
STR-012,ACC-6003,ENT-8003,ENT-8020,1200.00,USD,2025-03-04 10:00:00,US,US,retail,ach,online,False,
STR-013,ACC-6001,ENT-8001,ENT-8020,9950.00,USD,2025-03-05 08:00:00,US,US,jewelry,wire,branch,False,
STR-014,ACC-6001,ENT-8001,ENT-8021,9880.00,USD,2025-03-05 08:30:00,US,US,auto,wire,branch,False,
STR-015,ACC-6001,ENT-8001,ENT-8022,9770.00,USD,2025-03-05 09:00:00,US,US,retail,wire,branch,False,
STR-016,ACC-6004,ENT-8004,ENT-8023,8500.00,USD,2025-03-06 10:00:00,US,MX,import_export,wire,branch,True,medium
STR-017,ACC-6004,ENT-8004,ENT-8024,8200.00,USD,2025-03-06 10:30:00,US,MX,import_export,wire,branch,True,
STR-018,ACC-6004,ENT-8004,ENT-8025,7900.00,USD,2025-03-06 11:00:00,MX,US,import_export,wire,branch,True,
STR-019,ACC-6005,ENT-8005,ENT-8026,3000.00,USD,2025-03-07 14:00:00,US,US,healthcare,ach,online,False,
STR-020,ACC-6005,ENT-8005,ENT-8027,2500.00,USD,2025-03-07 15:00:00,US,CA,retail,card,online,True,
