transaction_id,account_id,sender_entity_id,receiver_entity_id,amount,currency,timestamp,origin_country,destination_country,merchant_category,transaction_type,channel,is_international,risk_flag
TXN-001,ACC-101,ENT-7001,ENT-7002,9800.00,USD,2025-03-01 08:15:00,US,US,financial_services,wire,online,False,
TXN-002,ACC-101,ENT-7001,ENT-7002,9700.00,USD,2025-03-01 09:30:00,US,US,financial_services,wire,online,False,
TXN-003,ACC-101,ENT-7001,ENT-7002,9500.00,USD,2025-03-01 11:00:00,US,US,financial_services,wire,online,False,
TXN-004,ACC-101,ENT-7001,ENT-7003,9900.00,USD,2025-03-02 08:00:00,US,US,financial_services,wire,branch,False,
TXN-005,ACC-101,ENT-7001,ENT-7003,9600.00,USD,2025-03-02 10:15:00,US,US,financial_services,wire,branch,False,
TXN-006,ACC-102,ENT-7002,ENT-7004,45000.00,USD,2025-03-03 10:00:00,US,KY,financial_services,wire,online,True,high
TXN-007,ACC-103,ENT-7004,ENT-7005,43000.00,USD,2025-03-03 14:30:00,KY,PA,financial_services,wire,online,True,high
TXN-008,ACC-104,ENT-7005,ENT-7006,41000.00,USD,2025-03-04 09:00:00,PA,SG,financial_services,wire,online,True,high
TXN-009,ACC-105,ENT-7006,ENT-7002,39000.00,USD,2025-03-04 16:00:00,SG,US,financial_services,wire,online,True,high
TXN-010,ACC-106,ENT-7003,ENT-7007,120000.00,USD,2025-03-05 08:30:00,US,AE,financial_services,wire,online,True,high
TXN-011,ACC-107,ENT-7007,ENT-7008,115000.00,USD,2025-03-05 11:00:00,AE,CH,financial_services,wire,online,True,
TXN-012,ACC-108,ENT-7008,ENT-7003,112000.00,USD,2025-03-06 09:00:00,CH,US,financial_services,wire,online,True,
TXN-013,ACC-109,ENT-7002,ENT-7009,50000.00,USD,2025-03-06 14:00:00,US,HK,financial_services,wire,online,True,high
TXN-014,ACC-110,ENT-7009,ENT-7010,48000.00,USD,2025-03-07 10:30:00,HK,SG,financial_services,wire,online,True,
TXN-015,ACC-111,ENT-7010,ENT-7004,46000.00,USD,2025-03-07 15:00:00,SG,KY,financial_services,wire,online,True,high
TXN-016,ACC-112,ENT-7001,ENT-7004,9400.00,USD,2025-03-08 08:00:00,US,KY,financial_services,wire,online,True,
TXN-017,ACC-112,ENT-7001,ENT-7004,9300.00,USD,2025-03-08 09:45:00,US,KY,financial_services,wire,online,True,
TXN-018,ACC-112,ENT-7001,ENT-7004,9100.00,USD,2025-03-08 11:30:00,US,KY,financial_services,wire,online,True,
TXN-019,ACC-113,ENT-7005,ENT-7001,200000.00,USD,2025-03-09 10:00:00,PA,US,financial_services,wire,online,True,high
TXN-020,ACC-114,ENT-7006,ENT-7007,85000.00,USD,2025-03-09 14:00:00,SG,AE,financial_services,wire,online,True,
TXN-021,ACC-115,ENT-7007,ENT-7005,82000.00,USD,2025-03-10 09:00:00,AE,PA,financial_services,wire,online,True,
TXN-022,ACC-116,ENT-7003,ENT-7009,25000.00,USD,2025-03-10 11:00:00,US,HK,financial_services,wire,online,True,high
TXN-023,ACC-117,ENT-7009,ENT-7006,24000.00,USD,2025-03-10 14:30:00,HK,SG,financial_services,wire,online,True,
TXN-024,ACC-118,ENT-7008,ENT-7001,75000.00,USD,2025-03-11 08:00:00,CH,US,financial_services,wire,online,True,
TXN-025,ACC-119,ENT-7002,ENT-7006,35000.00,USD,2025-03-11 10:00:00,US,SG,financial_services,wire,online,True,high
TXN-026,ACC-120,ENT-7010,ENT-7001,55000.00,USD,2025-03-11 15:00:00,SG,US,financial_services,wire,online,True,
TXN-027,ACC-121,ENT-7004,ENT-7008,38000.00,USD,2025-03-12 09:00:00,KY,CH,financial_services,wire,online,True,
TXN-028,ACC-122,ENT-7001,ENT-7003,9850.00,USD,2025-03-12 11:00:00,US,US,financial_services,wire,online,False,
TXN-029,ACC-122,ENT-7001,ENT-7003,9750.00,USD,2025-03-12 13:00:00,US,US,financial_services,wire,online,False,
TXN-030,ACC-123,ENT-7005,ENT-7009,62000.00,USD,2025-03-13 08:00:00,PA,HK,financial_services,wire,online,True,high
TXN-031,ACC-124,ENT-7009,ENT-7002,60000.00,USD,2025-03-13 11:30:00,HK,US,financial_services,wire,online,True,
TXN-032,ACC-125,ENT-7006,ENT-7004,28000.00,USD,2025-03-13 14:00:00,SG,KY,financial_services,wire,online,True,
TXN-033,ACC-126,ENT-7003,ENT-7008,18000.00,USD,2025-03-14 09:00:00,US,CH,financial_services,wire,online,True,
TXN-034,ACC-127,ENT-7008,ENT-7006,17000.00,USD,2025-03-14 12:00:00,CH,SG,financial_services,wire,online,True,
TXN-035,ACC-128,ENT-7007,ENT-7001,95000.00,USD,2025-03-14 15:00:00,AE,US,financial_services,wire,online,True,high
TXN-036,ACC-129,ENT-7002,ENT-7005,42000.00,USD,2025-03-15 08:30:00,US,PA,financial_services,wire,online,True,
TXN-037,ACC-130,ENT-7004,ENT-7009,31000.00,USD,2025-03-15 11:00:00,KY,HK,financial_services,wire,online,True,
TXN-038,ACC-131,ENT-7010,ENT-7007,22000.00,USD,2025-03-15 14:00:00,SG,AE,financial_services,wire,online,True,
