transaction_id,account_id,sender_entity_id,receiver_entity_id,amount,currency,timestamp,origin_country,destination_country,merchant_category,transaction_type,channel,is_international,risk_flag
TXN-001,ACC-1001,ENT-2001,ENT-3001,250.00,USD,2025-01-15 09:30:00,US,US,retail,card,online,False,
TXN-002,ACC-1001,ENT-2001,ENT-3002,9800.00,USD,2025-01-15 09:35:00,US,US,retail,wire,branch,False,
TXN-003,ACC-1001,ENT-2001,ENT-3003,9700.00,USD,2025-01-15 10:05:00,US,US,retail,wire,branch,False,
TXN-004,ACC-1001,ENT-2001,ENT-3004,9600.00,USD,2025-01-15 10:45:00,US,US,retail,wire,branch,False,
TXN-005,ACC-1002,ENT-2002,ENT-3005,45000.00,usd,2025-01-16 14:20:00,US,KY,financial_services,wire,online,True,high
TXN-006,ACC-1002,ENT-2002,ENT-3006,38000.00,USD,2025-01-16 14:22:00,KY,CH,financial_services,wire,online,True,high
TXN-007,ACC-1002,ENT-2002,ENT-3007,37500.00,USD,2025-01-16 14:25:00,CH,PA,financial_services,wire,online,True,high
TXN-008,ACC-1003,ENT-2003,ENT-3008,120.50,EUR,2025-01-17 08:10:00,DE,DE,grocery,card,pos,False,
TXN-009,ACC-1003,ENT-2003,ENT-3009,85.00,EUR,2025-01-17 12:30:00,DE,DE,restaurant,card,pos,False,
TXN-010,ACC-1003,ENT-2003,ENT-3010,2200.00,EUR,2025-01-17 16:00:00,DE,FR,electronics,wire,online,True,
TXN-011,ACC-1004,ENT-2004,ENT-3011,15000.00,GBP,2025-01-18 11:00:00,GB,RU,consulting,wire,branch,True,medium
TXN-012,ACC-1004,ENT-2004,ENT-3012,14500.00,GBP,2025-01-18 11:05:00,RU,GB,consulting,wire,branch,True,medium
TXN-013,ACC-1005,ENT-2005,ENT-3013,500.00,USD,2025-01-19 09:00:00,US,US,retail,ach,mobile,False,
TXN-014,ACC-1005,ENT-2005,ENT-3014,750.00,USD,2025-01-19 09:15:00,US,US,retail,ach,mobile,False,
TXN-015,ACC-1005,ENT-2005,ENT-3015,300.00,USD,2025-01-19 09:30:00,US,US,healthcare,card,online,False,
TXN-016,ACC-1006,ENT-2006,ENT-3001,25000.00,USD,2025-01-20 10:00:00,US,MX,import_export,wire,branch,True,high
TXN-017,ACC-1006,ENT-2006,ENT-3016,24000.00,USD,2025-01-20 10:30:00,MX,US,import_export,wire,branch,True,
TXN-018,ACC-1006,ENT-2006,ENT-3017,23500.00,USD,2025-01-20 11:00:00,US,MX,import_export,wire,branch,True,
TXN-019,ACC-1007,ENT-2007,ENT-3018,50.00,USD,2025-01-21 07:00:00,US,US,coffee_shop,card,pos,False,
TXN-020,ACC-1007,ENT-2007,ENT-3019,35.00,USD,2025-01-21 12:15:00,US,US,restaurant,card,pos,False,
TXN-021,ACC-1008,ENT-2008,ENT-3020,9999.00,USD,2025-01-22 09:00:00,US,US,jewelry,wire,branch,False,
TXN-022,ACC-1008,ENT-2008,ENT-3020,9999.00,USD,2025-01-22 09:05:00,US,US,jewelry,wire,branch,False,
TXN-023,ACC-1008,ENT-2008,ENT-3020,9999.00,USD,2025-01-22 09:10:00,US,US,jewelry,wire,branch,False,
TXN-024,ACC-1008,ENT-2008,ENT-3020,9999.00,usd,2025-01-22 09:15:00,US,US,jewelry,wire,branch,False,
TXN-025,ACC-1008,ENT-2008,ENT-3020,9999.00,USD,2025-01-22 09:20:00,US,US,jewelry,wire,branch,False,
TXN-026,ACC-1009,ENT-2009,ENT-3021,100000.00,USD,2025-01-23 13:00:00,US,AE,real_estate,wire,branch,True,high
TXN-027,ACC-1009,ENT-2009,ENT-3022,75000.00,USD,2025-01-23 13:30:00,AE,SG,real_estate,wire,online,True,high
TXN-028,ACC-1009,ENT-2009,ENT-3023,60000.00,USD,2025-01-23 14:00:00,SG,HK,financial_services,wire,online,True,high
TXN-029,ACC-1010,ENT-2010,ENT-3024,1500.00,EUR,2025-01-24 10:30:00,FR,FR,retail,card,online,False,
TXN-030,ACC-1010,ENT-2010,ENT-3025,3200.00,EUR,2025-01-24 11:00:00,FR,IT,electronics,wire,online,True,
TXN-031,ACC-1011,ENT-2011,ENT-3026,8500.00,USD,2025-01-25 08:00:00,US,NG,charity,wire,branch,True,medium
TXN-032,ACC-1011,ENT-2011,ENT-3027,8400.00,USD,2025-01-25 08:10:00,US,NG,charity,wire,branch,True,medium
TXN-033,ACC-1011,ENT-2011,ENT-3028,8300.00,USD,2025-01-25 08:20:00,US,NG,charity,wire,branch,True,medium
TXN-034,ACC-1012,ENT-2012,ENT-3029,200.00,USD,2025-01-26 15:00:00,US,US,subscription,ach,online,False,
TXN-035,ACC-1012,ENT-2012,ENT-3030,200.00,USD,2025-02-26 15:00:00,US,US,subscription,ach,online,False,
TXN-036,ACC-1013,ENT-2013,ENT-3031,12000.00,GBP,2025-01-27 09:45:00,GB,JE,financial_services,wire,online,True,high
TXN-037,ACC-1013,ENT-2013,ENT-3032,11500.00,GBP,2025-01-27 10:00:00,JE,GG,financial_services,wire,online,True,high
TXN-038,ACC-1013,ENT-2013,ENT-3033,11000.00,GBP,2025-01-27 10:15:00,GG,IM,financial_services,wire,online,True,high
TXN-039,ACC-1014,ENT-2014,ENT-3034,420.00,USD,2025-01-28 18:00:00,US,US,entertainment,card,mobile,False,
TXN-040,ACC-1014,ENT-2014,ENT-3035,89.99,USD,2025-01-28 18:30:00,US,US,streaming,card,mobile,False,
TXN-041,ACC-1015,ENT-2015,ENT-3036,55000.00,USD,2025-01-29 07:30:00,US,CN,manufacturing,wire,branch,True,medium
TXN-042,ACC-1015,ENT-2015,ENT-3037,52000.00,USD,2025-01-29 07:45:00,CN,US,manufacturing,wire,branch,True,
TXN-043,ACC-1016,ENT-2016,ENT-3038,9500.00,USD,2025-01-30 09:00:00,US,US,auto,wire,branch,False,
TXN-044,ACC-1016,ENT-2016,ENT-3038,9400.00,usd,2025-01-30 09:30:00,US,US,auto,wire,branch,False,
TXN-045,ACC-1016,ENT-2016,ENT-3038,9300.00,USD,2025-01-30 10:00:00,US,US,auto,wire,branch,False,
TXN-046,ACC-1017,ENT-2017,ENT-3039,175.00,EUR,2025-01-31 11:00:00,DE,DE,pharmacy,card,pos,False,
TXN-047,ACC-1017,ENT-2017,ENT-3040,2500.00,EUR,2025-01-31 14:00:00,DE,NL,electronics,wire,online,True,
